"Geo","postal","n","lat","lon"
"K1C 7K4","K1C 7K4",51,45.4634852,-75.5402741
"K1G 0N1","K1G 0N1",21,45.4056671,-75.6333817
"K1G 3P2","K1G 3P2",20,45.4019552,-75.6266456
"K1G 3P8","K1G 3P8",28,45.397942,-75.6210692
"K1J 8M4","K1J 8M4",28,45.4470885,-75.5960458
"K1J 8P3","K1J 8P3",12,45.4455638,-75.5970303
"K1J 8P9","K1J 8P9",71,45.4266958,-75.6339116
"K1J 9L6","K1J 9L6",47,45.4299421,-75.6211908
"K1K 2H2","K1K 2H2",53,45.4420571,-75.6282015
"K1K 4B7","K1K 4B7",37,45.4286871,-75.658565
"K1K 4C7","K1K 4C7",31,45.4360468,-75.6445501
"K1K 4E9","K1K 4E9",25,45.4436802,-75.6250567
"K1K 4N4","K1K 4N4",59,45.4483107,-75.6278121
"K1K 4N8","K1K 4N8",36,45.4493151,-75.6292082
"K1L 6L4","K1L 6L4",29,45.4342032,-75.6559448
"K1L 6Y1","K1L 6Y1",28,45.4307193,-75.6545116
"K1L 8E8","K1L 8E8",5,45.4386505,-75.6608046
"K1N 1B1","K1N 1B1",49,45.4196703,-75.6689997
"K1N 1E8","K1N 1E8",32,45.4333114,-75.6753876
"K1N 5L9","K1N 5L9",47,45.4360295,-75.6802268
"K1N 7M3","K1N 7M3",47,45.4310897,-75.6873679
"K1N 8W1","K1N 8W1",34,45.4332057,-75.6833757
"K1N 8Z2","K1N 8Z2",6,45.4305743,-75.6839156
"K1R 1A8","K1R 1A8",37,45.4153919,-75.7033539
"K1T 2C7","K1T 2C7",56,45.3522839,-75.6407512
"K1T 2Y2","K1T 2Y2",27,45.3576697,-75.6442116
"K1V 8T4","K1V 8T4",44,45.3459374,-75.6631464
"K1V 8T5","K1V 8T5",47,45.3458958,-75.661063
"K1Y 4V8","K1Y 4V8",51,45.4074654,-75.732966
"K1Z 1A3","K1Z 1A3",29,45.3942968,-75.7564448
"K1Z 5N5","K1Z 5N5",30,45.3928495,-75.7497663
"K1Z 6K3","K1Z 6K3",33,45.3805965,-75.7296955
"K1Z 8H5","K1Z 8H5",22,45.3737627,-75.7369277
"K1Z 8M1","K1Z 8M1",20,45.3716548,-75.7392013
"K1Z 8N5","K1Z 8N5",23,45.376354,-75.7355099
"K2A 2E8","K2A 2E8",18,45.3850166,-75.7553473
"K2B 6E8","K2B 6E8",21,45.3586519,-75.8008369
"K2B 6H6","K2B 6H6",42,45.3540866,-75.8008475
"K2B 8B5","K2B 8B5",37,45.3658449,-75.7925948
"K2B 8G1","K2B 8G1",35,45.3525629,-75.8095163
"K2B 8K8","K2B 8K8",30,45.3610451,-75.7931249
"K2C 0J5","K2C 0J5",28,45.3685876,-75.7044982
"K2C 1H3","K2C 1H3",47,45.3539171,-75.777632
"K2E 6K1","K2E 6K1",28,45.3597459,-75.721524
"K2E 7E8","K2E 7E8",33,45.354405,-75.7307505
"K2P 0H5","K2P 0H5",8,45.4189373,-75.687345
